OTU	Kingdom	Phylum	Order	Class	Family	Genus	Species	taxon	taxonomicLevel	trophicMode	guild	trait	growthForm	confidenceRanking	notes	citationSource
b039082743bfe90dcc53ee165838f206	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbilia	Orbilia_sp	Orbilia	13	Saprotroph	Wood Saprotroph	NULL	Microfungus	Probable	"Saprobic, found especially on wood in both wet and dry habitats. Many species are nematophagous, forming adhesive knobs, nets or ring-like traps in the presence of a food source; perhaps a strategy for life in low-nitrogen environments. There have been reports of associations with algae for a few species, but an established lichen association appears not to exist (Cannon & Kirk 2007)"	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
eaa912eddd70b732ae63148e037a0ad6	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Wickerhamomyces	Wickerhamomyces_sydowiorum	Wickerhamomyces	13	Saprotroph	Undefined Saprotroph	NULL	Yeast	Probable	NULL	"Kurtzman CP, et al. 2008. FEMS Yeast Research 8:939-954 ((https://doi.org/10.1111/j.1567-1364.2008.00419.x))"
a75a1c69cae83eb3a249c03c2ec45b21	Fungi	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na
6ea1589a67c74c1ae13633de555058e2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	na	na	Didymosphaeriaceae	9	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Probable	"Saprobes in both woody and herbaceous material, also parasitic on other fungi (Cannon & Kirk 2007)"	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Massimo NC, et al. 2015. Microbial Ecology 70:61-76 ((https://doi.org/10.1007/s00248-014-0563-6))"
24acdbffab7d45f52b819f3e4d44a00d	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unidentified	unidentified	Pleosporales_sp	na	na	na	na	na	na	na	na	na
1559ceb819d9ab1be2f905230db4d344	Fungi	Ascomycota	Dothideomycetes	Hysteriales	Hysteriaceae	unidentified	Hysteriaceae_sp	na	na	na	na	na	na	na	na	na
bc4ae3c1f0d2bef7baf3252f49642ac9	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	na	Curvularia	13	Pathotroph	Plant Pathogen	NULL	Microfungus	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
602d8781b93e41cbc0b5c97c544cdb40	Fungi	Ascomycota	Sordariomycetes	Xylariales	Requienellaceae	Parapyrenis	Parapyrenis_conica	Parapyrenis	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
3d9f84af51f6cbe31a4d43bd001adb7c	Fungi	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na
8386a78e6700d014ba76263e433be4e5	Fungi	Ascomycota	Dothideomycetes	Hysteriales	Hysteriaceae	Rhytidhysteron	Rhytidhysteron_rufulum	Rhytidhysteron	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
